Tiempo_Respuesta,Tiempo_comunidad,Sexo,Trabaja,Edad,Familia,Hobbies,Club_Social,Politica,Profesional,Medioambiente,Grupo_Apoyo
9.96,Medio,F,No,22,0,0,0,0,0,0,0
9.76,Largo,M,Si,31,0,0,0,0,0,1,0
3.17,Largo,F,Si,31,1,1,1,0,0,1,0
5.31,Corto,M,Si,28,0,0,0,0,0,0,0
9.26,Largo,F,Si,29,1,1,1,0,0,1,0
5.07,Largo,F,No,53,0,1,0,0,0,1,0
5.28,Largo,F,No,33,0,0,0,0,0,0,0
7.16,Medio,M,Si,46,0,0,0,0,0,0,0
6.23,Largo,M,No,20,1,1,0,0,0,0,0
8.63,Medio,F,No,44,0,0,0,0,0,0,0
5.89,Medio,M,No,41,0,0,0,0,0,1,0
6.26,Medio,M,No,52,1,1,1,0,1,1,1
9.3,Largo,M,Si,40,0,0,0,0,0,0,0
3.67,Corto,M,Si,53,0,0,0,0,0,0,0
7.49,Medio,F,Si,22,0,0,0,0,1,0,0
4.58,Largo,F,Si,34,0,0,0,0,1,0,0
7.25,Medio,F,Si,47,0,1,1,0,0,1,0
4.88,Medio,M,No,42,1,1,0,0,0,0,0
9.12,Largo,M,Si,51,0,0,0,0,0,0,0
7.7,Largo,F,No,49,0,0,0,0,1,0,0
3.99,Largo,M,Si,39,1,1,0,0,1,1,0
7.76,Medio,F,No,42,0,1,0,0,0,1,0
9.72,Corto,M,No,31,1,0,0,0,1,0,0
5.9,Corto,M,No,21,0,0,0,0,0,0,0
5.08,Medio,F,No,34,0,0,0,0,1,0,0
5.65,Corto,M,Si,48,0,1,1,0,1,0,0
9.75,Corto,F,No,57,0,0,0,0,1,0,1
9.66,Corto,M,Si,46,0,1,0,0,0,1,0
3.49,Medio,F,No,37,0,0,0,0,1,1,1
5.28,Corto,F,No,29,0,0,0,0,0,0,0
5.85,Largo,F,No,27,1,1,0,0,1,1,0
3.18,Corto,M,No,35,0,0,0,0,0,0,0
6.88,Corto,F,Si,50,1,0,0,0,1,0,1
2.88,Corto,F,Si,55,1,1,0,0,0,1,0
3.39,Largo,F,Si,35,1,0,0,0,0,0,0
7.32,Largo,F,Si,48,1,0,0,0,0,0,0
7.22,Corto,M,No,51,0,0,0,1,1,0,1
5.07,Medio,F,Si,30,1,0,0,0,0,0,0
7.91,Medio,F,No,31,1,0,0,0,0,0,0
3.8,Largo,F,Si,43,1,1,1,0,0,1,0
6.53,Largo,F,Si,23,0,0,0,0,0,0,0
7.24,Medio,M,Si,19,0,0,0,0,0,0,0
3.4,Medio,F,Si,26,1,0,1,0,0,1,0
2.08,Corto,M,Si,27,0,0,0,0,1,0,0
8.71,Medio,M,No,42,0,0,0,0,0,0,0
2.66,Corto,F,No,47,0,0,0,0,1,1,0
5.97,Medio,F,Si,49,1,0,1,0,1,0,0
4.06,Medio,M,No,21,0,0,0,0,0,0,0
4.71,Corto,M,No,47,0,0,0,0,0,0,0
6.6,Largo,M,Si,37,0,0,0,0,0,0,1
4.65,Corto,F,Si,24,1,0,0,0,1,1,0
5.13,Corto,M,Si,25,1,0,0,0,0,0,0
4.76,Largo,F,Si,23,0,1,1,0,0,1,0
7.71,Medio,M,No,22,0,0,0,0,0,1,0
4.82,Corto,M,No,47,1,1,0,0,0,1,0
5.63,Largo,F,No,28,1,1,0,0,0,1,0
5.21,Corto,F,Si,31,0,0,0,0,1,0,0
3.96,Medio,M,Si,54,0,0,0,0,0,0,0
7.46,Medio,M,No,24,0,0,0,0,0,0,1
2.24,Largo,M,No,24,0,0,0,1,1,0,1
2.18,Largo,F,Si,25,1,0,1,0,0,1,0
4.16,Medio,M,Si,23,1,1,1,0,0,1,0
8.66,Largo,F,Si,29,0,1,0,0,0,1,0
2.91,Largo,F,Si,31,0,0,0,0,0,1,0
3.69,Medio,M,Si,52,0,0,0,0,0,0,0
5.03,Largo,M,Si,38,1,0,0,0,1,0,0
7.95,Corto,M,No,29,0,0,0,0,0,0,1
3.37,Largo,F,No,29,0,0,0,0,1,0,0
8.58,Medio,F,No,47,0,0,0,0,0,0,0
2.85,Largo,F,Si,26,0,0,0,0,0,0,0
3.82,Largo,M,Si,45,0,0,0,0,0,0,0
3.84,Medio,M,Si,51,1,0,0,0,0,0,0
3.1,Largo,F,No,28,0,1,0,0,1,1,0
2.16,Largo,F,No,43,0,0,0,0,1,0,0
7.97,Medio,M,No,24,1,0,0,1,0,0,0
9.04,Corto,F,No,52,0,0,0,0,0,0,0
2.85,Medio,F,No,24,0,0,0,0,0,0,1
2.46,Largo,F,No,55,1,1,1,0,0,1,0
6.11,Largo,F,No,40,0,0,0,0,1,0,0
9.75,Largo,F,No,37,1,1,1,0,0,1,1
7.84,Medio,M,Si,34,1,1,1,1,1,1,0
2.83,Corto,F,No,31,1,0,0,0,1,0,0
6.37,Corto,M,Si,34,0,0,0,0,0,0,0
8.67,Medio,M,No,21,0,0,0,0,1,0,0
3.01,Largo,M,No,48,1,1,1,0,0,1,0
5.42,Largo,F,Si,51,0,0,0,1,0,1,1
7.92,Largo,F,Si,37,1,1,1,1,0,1,1
3.65,Corto,F,Si,22,1,1,1,0,0,1,0
9.84,Medio,M,Si,39,0,1,1,0,0,1,0
4.22,Largo,F,Si,24,0,1,0,0,0,1,0
6.53,Medio,M,No,47,0,0,0,0,1,0,1
6.79,Largo,M,No,56,0,0,0,0,0,0,0
6.21,Medio,M,Si,35,0,0,0,1,1,1,0
5.51,Medio,F,Si,32,0,0,0,0,0,1,0
6.38,Medio,M,No,48,0,0,0,0,0,0,0
5.51,Corto,M,No,21,1,1,0,0,1,1,0
5.43,Medio,M,No,44,0,0,0,0,0,0,0
3.74,Largo,F,Si,39,1,0,0,0,0,0,0
6.45,Largo,M,Si,28,1,0,0,0,1,0,0
4.3,Largo,M,Si,20,0,0,0,0,0,0,0
8.8,Largo,F,No,53,1,1,0,0,0,1,0
5.47,Largo,F,Si,42,1,0,0,1,1,0,0
2.27,Medio,F,Si,40,0,0,0,0,0,1,0
3.6,Medio,M,No,52,1,0,1,0,1,1,0
4.76,Corto,M,Si,49,0,1,0,0,0,0,1
2.31,Largo,F,Si,25,0,0,0,0,0,0,0
8.44,Medio,M,No,18,1,1,1,0,0,1,1
5.62,Medio,F,Si,45,1,0,0,0,0,0,0
3,Largo,M,Si,43,0,0,0,0,0,0,0
2.81,Medio,F,Si,47,0,1,1,0,0,1,0
6.43,Medio,M,No,26,0,1,0,0,0,1,1
9.24,Largo,F,Si,44,0,0,0,0,0,0,0
5.63,Largo,M,Si,26,0,0,0,0,1,0,0
8.31,Largo,F,Si,27,1,1,0,1,1,1,1
4.45,Medio,M,Si,19,1,1,0,0,0,1,0
8.47,Largo,M,No,26,1,0,0,0,0,0,0
5.99,Medio,F,No,29,0,0,0,0,0,0,0
4.49,Medio,F,No,28,1,0,1,0,0,0,0
10.04,Medio,M,Si,28,0,0,0,0,0,1,0
4.13,Corto,F,Si,40,1,1,0,0,0,1,1
6.41,Medio,F,No,25,0,0,0,0,0,0,1
8.65,Medio,M,No,33,1,0,0,0,0,0,0
6.95,Largo,F,Si,36,0,0,0,0,0,0,0
7.9,Medio,F,Si,54,0,0,0,0,0,0,0
8.19,Largo,F,No,38,0,1,0,0,0,1,0
7.53,Medio,F,No,41,0,0,0,0,0,1,0
9.06,Medio,M,Si,29,1,0,0,0,0,0,0
6.3,Corto,F,No,37,0,0,0,0,0,0,0
6.42,Corto,F,Si,51,0,0,0,0,0,1,0
7.29,Largo,M,No,24,1,0,1,0,0,0,0
9.34,Corto,M,No,34,0,0,0,0,1,0,1
4.34,Medio,M,Si,26,0,0,0,0,0,1,0
7.05,Medio,F,No,37,1,1,1,0,0,1,0
7.44,Largo,F,No,54,0,0,0,0,0,0,0
6.16,Medio,M,No,52,1,0,0,0,0,0,0
6.19,Medio,F,Si,42,0,0,0,0,1,0,0
4.64,Medio,F,Si,22,1,1,0,0,1,1,0
2.41,Medio,F,No,49,1,1,1,0,0,1,0
8.15,Corto,F,Si,38,1,1,0,0,1,1,1
7.82,Largo,M,No,41,0,0,0,0,0,0,0
2.62,Medio,F,No,40,1,0,0,0,0,0,0
7.06,Largo,F,No,50,0,0,0,0,0,1,0
5.8,Largo,F,Si,52,1,0,1,0,0,1,0
8.57,Medio,F,No,20,0,0,0,0,1,0,1
6.28,Largo,M,No,35,0,0,0,0,0,0,0
4.14,Corto,M,No,39,0,0,0,0,1,0,0
8.62,Largo,M,No,37,0,1,1,1,1,1,1
3.67,Largo,M,Si,47,1,1,1,0,0,1,0
8.08,Medio,M,No,20,0,0,0,0,0,0,0
3.49,Medio,M,No,45,0,0,0,1,0,0,0
9.06,Medio,M,No,35,1,1,1,0,0,1,1
6.86,Medio,M,No,38,0,0,0,0,0,0,1
4.34,Medio,F,Si,36,1,0,0,0,0,0,0
3.16,Largo,M,No,30,0,1,0,0,0,1,0
7.3,Corto,F,Si,26,0,0,0,0,0,1,0
5.83,Medio,F,No,27,0,0,0,0,0,0,0
7.48,Largo,F,No,39,0,1,0,0,0,1,0
7.34,Largo,M,No,39,0,0,0,0,0,1,0
8.13,Corto,F,Si,29,1,1,1,0,0,1,0
8.07,Medio,F,No,23,0,0,0,0,0,1,0
2.29,Medio,F,No,51,0,0,0,1,0,0,1
2.34,Largo,F,Si,23,0,0,0,0,0,0,0
7.35,Largo,F,Si,31,0,0,0,0,0,0,0
7.07,Corto,F,No,55,1,0,1,0,0,0,1
5.7,Largo,M,Si,25,0,0,0,0,0,1,0
4.73,Corto,F,No,44,0,0,0,0,0,0,0
2.25,Medio,F,No,23,0,0,0,0,0,0,0
9.98,Largo,M,Si,22,0,1,0,0,0,0,0
7.66,Medio,F,No,54,0,0,0,0,1,1,0
2.35,Corto,F,No,20,1,1,0,0,0,1,0
6.99,Medio,F,No,49,1,0,1,0,1,1,0
7.6,Corto,F,Si,44,0,1,1,1,1,1,0
3.73,Medio,M,No,33,0,0,0,0,0,1,0
7.28,Medio,F,Si,28,0,0,0,1,1,0,1
7.72,Largo,F,Si,20,0,0,0,0,0,0,0
8.79,Largo,F,No,30,0,0,0,0,0,0,0
7.13,Corto,M,No,37,0,1,0,1,0,0,0
7.26,Corto,F,No,22,0,0,0,0,0,0,0
6.45,Corto,M,No,32,1,0,0,0,0,0,1
7.27,Largo,M,Si,54,1,0,0,0,0,1,0
2.59,Largo,M,No,46,0,0,0,0,1,0,0
6.9,Largo,F,Si,41,0,0,1,0,0,0,0
9.14,Largo,F,Si,47,1,0,0,0,0,1,0
2.87,Medio,M,No,55,1,1,1,0,0,1,0
3.19,Largo,M,No,40,0,1,1,0,0,1,0
2.75,Medio,F,Si,53,1,0,0,0,0,0,0
9.35,Largo,F,Si,46,0,0,0,0,0,0,0
9.54,Corto,M,No,38,0,1,0,1,0,1,0
6.26,Largo,M,No,32,0,0,0,0,0,1,0
7.7,Medio,F,Si,36,1,0,0,0,0,0,0
3.15,Corto,F,No,36,1,0,0,0,0,0,0
4.94,Medio,M,No,27,0,0,0,0,1,1,0
6.6,Medio,M,No,50,0,1,0,0,0,1,0
9.19,Largo,F,No,30,0,0,0,0,0,0,0
4.62,Corto,M,Si,50,1,1,0,0,0,0,0
3.21,Medio,M,No,30,0,0,0,0,0,1,0
4.31,Medio,M,Si,36,0,0,0,0,0,1,1
8.72,Medio,F,Si,47,1,1,0,0,0,1,0
7.08,Medio,F,Si,31,0,0,0,0,1,0,0
3.48,Corto,F,No,50,1,1,0,0,0,1,0
5.47,Medio,M,Si,32,0,0,0,0,0,0,0
3.99,Largo,F,Si,43,0,0,0,0,0,0,0
2.2,Corto,F,Si,29,0,0,0,0,1,1,0
7.01,Medio,F,No,45,0,1,0,0,1,1,0
6.6,Corto,M,No,19,0,0,0,0,0,1,0
3.14,Largo,F,Si,24,1,1,0,0,0,1,0
9.5,Largo,F,Si,32,0,0,0,0,0,0,0
5.96,Largo,F,No,48,0,0,0,0,1,0,0
2.99,Medio,M,Si,24,0,0,0,0,0,0,0
8.74,Medio,M,No,38,1,1,0,0,1,1,0
6.64,Medio,M,No,21,0,0,0,0,0,0,0
7.55,Largo,M,Si,51,0,1,1,0,0,0,0
9.91,Largo,M,Si,23,0,0,0,0,0,0,0
7.69,Corto,M,Si,38,1,1,0,0,0,0,0
4.12,Largo,M,Si,41,0,0,0,0,1,1,0
9.86,Largo,M,Si,22,1,1,1,0,1,1,0
7.04,Medio,M,Si,29,0,1,0,0,0,1,0
6.31,Largo,F,Si,27,1,0,0,0,0,0,0
5.61,Corto,F,No,39,1,0,0,0,0,0,0
4.31,Medio,M,Si,47,1,0,0,0,0,0,0
8.87,Largo,M,Si,34,0,0,0,0,0,0,1
6.97,Largo,F,No,50,0,0,0,0,1,0,0
6.57,Largo,F,Si,49,1,0,0,0,0,1,0
5.51,Medio,M,Si,21,1,1,1,0,1,1,1
9.02,Largo,F,Si,39,0,0,0,0,0,0,1
4.55,Medio,M,Si,50,1,0,0,0,0,0,0
5.8,Medio,F,No,29,0,0,0,1,0,1,0
3.05,Medio,F,Si,23,0,0,0,0,0,0,0
2.35,Medio,M,No,32,0,1,1,0,0,1,0
6.56,Largo,M,No,47,0,0,0,0,0,0,0
2.09,Largo,F,No,27,0,1,1,0,0,1,1
7.23,Corto,F,Si,29,1,1,0,0,1,1,0
6.6,Largo,F,No,20,1,0,0,0,0,0,0
6.97,Largo,F,Si,47,0,0,1,0,0,0,1
4.22,Medio,F,No,46,1,1,1,0,0,0,1
3.24,Largo,M,Si,26,0,1,1,0,1,1,0
8.25,Largo,F,Si,45,1,0,0,0,0,1,0
2.61,Largo,F,No,24,1,0,0,0,1,0,0
6.52,Medio,F,No,34,1,1,1,0,0,1,0
3.07,Medio,F,Si,25,0,0,0,0,0,0,0
2.48,Largo,F,No,31,0,0,0,0,0,0,0
7.66,Largo,F,No,17,0,0,0,0,0,1,0
3.31,Corto,M,No,17,0,0,0,0,0,0,1
2.8,Medio,M,Si,42,1,0,1,0,1,0,0
4.95,Medio,F,Si,31,0,0,0,0,1,0,0
2.88,Corto,F,No,45,0,0,0,0,0,0,0
3.5,Largo,F,No,46,0,1,1,1,1,1,1
9.24,Medio,M,No,51,0,1,0,0,0,0,1
6.05,Medio,F,Si,56,1,0,0,0,1,0,0
8.02,Corto,M,Si,33,1,0,1,0,1,0,0
3.31,Largo,M,No,44,0,0,0,0,0,0,0
4.33,Corto,M,Si,32,0,0,0,0,0,0,0
8.86,Medio,F,No,30,0,0,1,0,1,1,0
3.13,Largo,M,Si,55,0,1,0,0,1,0,0
3.17,Largo,F,Si,44,0,1,1,0,0,1,0
4.53,Largo,M,Si,47,0,0,0,0,0,0,1
6.83,Medio,F,Si,25,0,0,0,0,0,0,0
3.73,Medio,F,No,29,0,0,0,0,0,0,0
9.17,Medio,M,No,42,1,1,1,0,0,1,0
6.15,Medio,F,Si,25,0,0,0,0,0,0,0
4.7,Medio,F,Si,49,0,0,1,0,1,1,0
3.06,Corto,F,No,54,1,0,0,0,0,0,0
3.24,Medio,F,No,27,0,0,0,0,1,0,0
5.63,Largo,F,No,28,0,0,0,0,0,0,0
9.44,Corto,M,Si,27,1,1,1,0,0,1,0
5.57,Largo,F,Si,25,0,0,0,0,1,0,0
6.22,Corto,F,Si,18,0,0,0,0,1,0,0
8.3,Medio,F,No,55,1,0,0,1,1,1,1
2.73,Medio,M,Si,52,1,1,1,0,0,1,0
4.47,Largo,F,No,53,0,1,1,0,0,1,0
8.33,Largo,M,Si,47,0,1,1,1,1,1,1
9.34,Largo,M,No,37,1,0,0,0,1,0,0
2.82,Medio,F,Si,50,0,0,0,0,1,0,0
6.53,Largo,M,No,21,1,1,0,0,0,1,0
3.58,Largo,F,No,21,0,0,0,0,0,1,0
4.52,Medio,F,No,50,1,1,0,0,0,0,0
2.71,Corto,M,Si,26,0,0,0,0,0,0,0
2.42,Medio,F,No,18,0,1,0,0,0,0,0
7.65,Medio,F,Si,40,0,0,0,0,1,0,0
8.01,Largo,M,No,52,0,1,0,0,1,1,0
6.67,Medio,F,Si,43,0,0,0,0,1,0,0
5.62,Largo,F,No,21,0,0,0,0,0,0,0
3.78,Medio,M,No,34,0,0,0,0,1,0,0
4.75,Medio,F,Si,38,1,1,1,0,0,1,0
2.24,Largo,M,Si,37,1,0,0,0,0,1,0
6.01,Medio,M,Si,36,0,1,0,0,1,1,0
4.55,Corto,M,Si,24,0,0,0,0,0,0,0
7.28,Largo,M,Si,22,1,0,0,0,0,1,0
9.89,Medio,M,No,31,0,0,0,0,1,0,0
6,Corto,F,No,37,0,0,0,0,0,0,0
7.47,Largo,M,Si,27,1,0,0,0,1,0,1
6.11,Largo,F,No,48,0,0,0,0,0,0,0
2.13,Corto,M,Si,50,1,0,0,1,0,1,0
9.96,Largo,F,No,25,0,0,0,0,0,0,0
8.92,Largo,F,No,49,0,0,0,0,0,0,0
2.69,Largo,F,No,36,0,0,0,0,0,0,0
8.93,Corto,F,No,33,1,0,1,0,0,1,0
2.24,Medio,M,Si,50,1,0,0,0,0,0,0
2.29,Largo,F,Si,40,1,1,1,0,0,1,0
3.51,Medio,M,Si,44,0,0,0,0,1,0,0
4.49,Medio,M,No,48,0,0,0,0,0,0,0
4.54,Largo,M,Si,21,0,0,0,0,1,0,1
6.06,Medio,M,Si,50,0,0,0,0,1,0,0
2.67,Medio,M,Si,47,0,0,0,0,0,0,0
6.98,Largo,M,Si,36,1,0,0,0,0,1,0
3.4,Largo,F,No,44,1,1,0,0,0,1,0
3.82,Largo,M,Si,27,1,1,0,0,1,1,0
8.21,Largo,F,No,17,1,1,0,0,0,1,0
6.28,Largo,M,No,38,1,0,0,0,0,0,0
8.81,Medio,F,Si,28,0,1,0,0,1,0,0
7.01,Largo,F,No,23,0,0,1,1,1,0,1
4.63,Corto,M,No,30,0,1,0,0,0,1,0
7.63,Corto,F,No,46,0,0,0,0,0,1,0
6.15,Corto,M,Si,42,0,0,1,0,0,1,0
4.32,Medio,M,No,48,0,0,0,0,1,0,0
9.88,Corto,F,No,29,1,1,0,0,0,1,0
7.92,Largo,M,Si,25,0,0,0,0,0,0,0
9.46,Largo,M,No,52,0,0,0,0,0,0,1
8.44,Largo,M,Si,55,0,1,0,0,1,1,0
3.94,Largo,F,No,30,0,0,0,0,0,0,0
5.52,Corto,F,No,30,1,1,0,0,0,1,0
7.34,Medio,F,No,20,0,0,0,0,1,0,0
9.31,Medio,M,No,48,1,1,1,0,1,1,1
4.11,Largo,F,Si,45,0,0,0,0,1,0,0
3.41,Medio,M,No,47,1,0,0,0,0,1,1
2.26,Largo,M,No,20,0,0,0,0,0,0,0
2.05,Corto,F,No,43,0,0,0,0,1,0,1
3.37,Largo,F,Si,40,0,0,0,0,0,0,1
4.37,Largo,F,No,52,1,0,0,0,0,1,0
6.77,Corto,M,No,53,1,0,0,1,1,0,1
2.87,Medio,F,Si,34,0,0,0,0,0,0,0
8.09,Largo,F,Si,44,0,0,0,0,0,1,0
4.1,Largo,M,No,20,0,0,0,0,0,1,0
10.11,Medio,F,No,29,0,0,0,1,1,0,0
2.55,Largo,F,Si,49,0,0,0,0,0,0,0
7.12,Largo,M,No,42,1,0,0,1,1,0,0
6.27,Largo,M,Si,55,1,0,0,0,1,0,0
3.59,Corto,F,Si,49,1,0,0,0,0,0,0
5.83,Corto,M,Si,23,1,0,1,1,0,1,0
2.41,Largo,M,No,19,1,1,1,0,1,1,0
2.54,Corto,M,No,35,0,0,0,0,0,1,0
3.16,Medio,F,No,52,0,0,0,0,0,0,0
7.31,Medio,F,Si,29,1,1,1,0,1,1,0
5.98,Largo,M,Si,34,0,0,0,0,1,0,0
8.89,Corto,F,Si,31,0,0,0,0,0,0,0
2.81,Corto,M,No,47,1,0,0,0,0,0,0
3.95,Largo,M,Si,46,1,0,0,0,1,0,0
4.96,Largo,F,Si,24,0,1,0,0,1,1,1
7.61,Corto,F,No,27,1,1,0,0,0,1,0
9.26,Medio,M,No,36,0,1,1,1,0,1,1
2.85,Medio,M,No,50,1,0,0,0,0,0,0
2.5,Medio,M,No,26,1,0,0,0,1,0,0
6.98,Largo,F,No,44,0,0,0,0,0,0,0
3.85,Medio,F,Si,24,1,1,0,0,0,0,0
3.3,Medio,F,No,52,0,0,0,0,1,0,1
9.13,Largo,F,Si,31,0,1,0,0,1,1,0
3.27,Medio,F,No,29,1,1,0,0,0,1,1
5.07,Largo,M,No,54,0,0,0,0,0,0,0
3.76,Corto,M,Si,20,0,0,0,0,1,0,0
8.14,Largo,F,Si,51,0,1,0,0,0,1,0
9.6,Medio,F,No,43,0,0,0,0,1,0,1
4.19,Largo,F,Si,20,1,0,0,0,0,0,0
4.29,Largo,M,Si,50,1,0,1,0,0,1,0
2.27,Medio,M,Si,31,0,0,0,0,0,1,0
2.55,Largo,M,No,49,1,1,0,0,0,1,0
2.34,Corto,M,No,44,0,1,0,0,0,1,0
2.32,Largo,M,Si,26,0,1,1,0,1,1,0
8.81,Largo,M,No,50,0,0,0,0,0,0,0
3.47,Medio,F,Si,42,0,0,0,0,1,1,0
8.61,Largo,M,Si,25,0,0,0,0,1,0,0
8.73,Medio,F,Si,39,0,0,0,1,1,0,0
6.05,Medio,F,Si,22,0,0,0,0,0,0,1
5.16,Largo,M,Si,29,1,1,0,0,0,1,0
3.75,Corto,F,No,36,0,1,0,0,0,1,0
6.84,Largo,F,Si,45,0,0,0,0,0,1,0
9.46,Largo,M,No,34,0,0,0,0,0,0,0
3.3,Largo,M,Si,49,0,1,1,0,1,1,0
3.37,Medio,F,Si,28,1,1,1,1,1,1,1
7.37,Largo,M,No,25,1,1,1,1,0,1,1
2.45,Largo,F,No,28,1,1,1,0,0,1,0
4.65,Medio,F,No,43,1,1,1,0,1,1,1
3.86,Corto,F,No,48,1,0,0,0,0,1,0
8.61,Medio,M,Si,33,0,0,0,0,1,0,0
7.75,Corto,M,No,24,0,0,0,1,1,0,0
5.89,Medio,M,No,47,0,0,0,1,0,0,0
5.02,Medio,F,No,30,1,0,1,0,0,0,0
4.55,Largo,M,No,29,0,1,0,0,0,1,0
8.04,Largo,M,No,18,0,0,0,0,1,0,0
6.27,Largo,F,Si,54,0,0,0,0,0,0,1
5.39,Largo,M,No,50,1,1,0,0,0,1,0
5.28,Largo,F,No,23,1,0,0,0,1,1,0
8.47,Largo,M,No,49,0,0,0,0,1,0,0
2.45,Largo,M,Si,22,1,1,0,0,0,1,0
5.18,Medio,M,Si,44,0,0,0,0,1,0,0
4.87,Largo,F,No,23,0,0,0,0,0,0,0
8.73,Corto,F,Si,30,1,1,0,0,0,1,0
9.67,Largo,M,No,52,1,1,1,0,0,1,0
4.46,Medio,F,No,29,1,0,0,0,1,0,0
4.28,Corto,M,No,50,0,1,0,0,0,1,0
2.66,Largo,F,Si,31,0,0,0,0,0,0,0
4.83,Corto,F,No,40,1,0,0,0,0,0,0
3.96,Medio,M,No,27,0,1,0,0,1,1,0
9.57,Largo,M,No,29,1,0,0,0,0,1,0
6.16,Medio,M,No,28,1,0,0,0,0,1,0
3.72,Medio,M,Si,34,0,0,0,0,0,1,0
4.56,Corto,M,Si,48,1,1,0,0,0,1,0
4.33,Largo,F,No,24,0,0,0,0,0,0,0
9.57,Largo,M,No,26,1,1,0,0,0,1,0
5.13,Largo,M,Si,44,0,0,0,0,0,1,0
6.85,Corto,F,No,44,0,0,0,0,0,1,0
6.74,Medio,M,Si,32,1,0,1,1,0,1,0
5.92,Medio,M,No,42,0,0,0,0,0,1,0
2.49,Medio,M,No,19,0,1,0,0,0,0,0
5.96,Largo,M,Si,32,0,1,0,1,1,1,0
7.42,Largo,F,No,42,1,0,0,0,1,0,0
9.69,Largo,M,Si,26,0,1,0,0,0,0,0
4.18,Corto,M,No,28,0,0,0,0,0,1,0
9.59,Largo,F,Si,25,0,0,0,0,0,0,0
10.03,Corto,F,No,24,0,1,0,0,0,1,0
9.86,Largo,M,Si,25,1,1,0,0,0,1,1
6.97,Largo,M,No,45,0,1,0,0,0,1,0
3.33,Medio,F,No,27,0,0,0,0,1,0,0
8.85,Largo,M,Si,27,0,0,1,0,0,0,1
3.87,Corto,M,Si,42,1,1,0,0,0,0,0
2.73,Corto,F,No,47,1,0,0,1,1,0,1
4.65,Largo,F,No,51,0,0,0,0,1,1,0
3.46,Corto,M,No,23,1,0,0,0,0,0,1
5.85,Largo,F,No,42,0,1,1,0,0,1,1
5.15,Largo,M,Si,26,1,0,1,0,0,1,1
2.27,Medio,F,No,24,1,1,0,0,1,1,0
8.21,Medio,M,Si,26,0,0,0,0,1,1,0
